Currency,Event,Time_GMT,Impact,Signal,Actual,Forecast,Previous
AUD,MI Inflation Expectations,10/08/2023 02:00,Low,,4.90%,,5.20%
EUR,ECB Economic Bulletin,10/08/2023 09:00,Low,,,,
USD,Core CPI m/m,10/08/2023 13:30,High,,0.20%,0.20%,0.20%
USD,CPI m/m,10/08/2023 00:00,High,,0.20%,0.20%,0.20%
USD,CPI y/y,10/08/2023 00:00,High,worse,3.20%,3.30%,3.00%
USD,Unemployment Claims,10/08/2023 00:00,High,worse,248K,231K,227K
USD,Mortgage Delinquencies,10/08/2023 15:00,Low,,3.37%,,3.56%
USD,Natural Gas Storage,10/08/2023 15:30,Low,worse,29B,24B,14B
USD,30-y Bond Auction,10/08/2023 18:01,Low,,4.19|2.4,,3.91|2.4
USD,Federal Budget Balance,10/08/2023 19:00,Low,better,-220.8B,-107.5B,-227.8B
USD,FOMC Member Harker Speaks,10/08/2023 21:15,Medium,,,,
NZD,BusinessNZ Manufacturing Index,10/08/2023 23:30,Low,,46.3,,47.4
NZD,FPI m/m,10/08/2023 23:45,Low,,-0.50%,,1.60%
JPY,M2 Money Stock y/y,09/08/2023 00:50,Low,worse,2.40%,2.60%,2.60%
CNY,CPI y/y,09/08/2023 02:30,High,better,-0.30%,-0.40%,0.00%
CNY,PPI y/y,09/08/2023 00:00,Medium,worse,-4.40%,-4.00%,-5.40%
NZD,Inflation Expectations q/q,09/08/2023 04:00,High,,2.83%,,2.79%
JPY,Prelim Machine Tool Orders y/y,09/08/2023 06:58,Low,,-19.80%,,-21.10%
GBP,10-y Bond Auction,09/08/2023 10:02,Low,,4.35|2.6,,4.60|2.7
EUR,German 10-y Bond Auction,09/08/2023 10:34,Low,,2.46|1.6,,2.64|1.9
CAD,Building Permits m/m,09/08/2023 13:30,Low,better,6.10%,-2.10%,12.60%
USD,Crude Oil Inventories,09/08/2023 15:30,Low,worse,5.9M,2.1M,-17.0M
USD,10-y Bond Auction,09/08/2023 18:01,Medium,,4.00|2.6,,3.86|2.5
GBP,BRC Retail Sales Monitor y/y,08/08/2023 00:01,Low,worse,1.80%,3.00%,4.20%
JPY,Average Cash Earnings y/y,08/08/2023 00:30,Low,worse,2.30%,3.00%,2.90%
JPY,Household Spending y/y,08/08/2023 00:00,Low,worse,-4.20%,-3.90%,-4.00%
JPY,Bank Lending y/y,08/08/2023 00:50,Low,worse,2.90%,3.00%,3.10%
JPY,Current Account,08/08/2023 00:00,Low,better,2.35T,2.24T,1.70T
AUD,Westpac Consumer Sentiment,08/08/2023 01:30,Low,,-0.40%,,2.70%
AUD,NAB Business Confidence,08/08/2023 02:30,Medium,,2,,-1
CNY,Trade Balance,08/08/2023 04:08,Low,better,576B,495B,491B
CNY,USD-Denominated Trade Balance,08/08/2023 04:09,Low,better,80.6B,70.8B,70.6B
JPY,30-y Bond Auction,08/08/2023 04:35,Low,,1.59|3.5,,1.22|3.0
JPY,Economy Watchers Sentiment,08/08/2023 06:00,Low,better,54.4,54,53.6
EUR,German Final CPI m/m,08/08/2023 07:00,Low,,0.30%,0.30%,0.30%
EUR,French Trade Balance,08/08/2023 07:45,Low,better,-6.7B,-8.0B,-7.9B
USD,NFIB Small Business Index,08/08/2023 11:00,Low,,91.9,91.2,91
USD,FOMC Member Harker Speaks,08/08/2023 13:15,Medium,,,,
CAD,Trade Balance,08/08/2023 13:30,Low,worse,-3.7B,-2.8B,-2.7B
USD,Trade Balance,08/08/2023 00:00,Low,,-65.5B,-65.1B,-68.3B
USD,Final Wholesale Inventories m/m,08/08/2023 15:00,Low,better,-0.50%,-0.30%,-0.30%
USD,IBD/TIPP Economic Optimism,08/08/2023 00:00,Low,worse,40.3,43,41.3
JPY,BOJ Summary of Opinions,07/08/2023 00:50,Low,,,,
AUD,ANZ Job Advertisements m/m,07/08/2023 02:30,Low,,0.40%,,-2.70%
JPY,Leading Indicators,07/08/2023 06:00,Low,,108.90%,108.90%,109.20%
CHF,Unemployment Rate,07/08/2023 06:45,Low,worse,2.10%,2.00%,2.00%
EUR,German Industrial Production m/m,07/08/2023 07:00,Low,worse,-1.50%,-0.40%,-0.10%
GBP,Halifax HPI m/m,07/08/2023 00:00,Low,worse,-0.30%,0.00%,-0.10%
CHF,Foreign Currency Reserves,07/08/2023 08:00,Medium,,698B,,725B
EUR,Sentix Investor Confidence,07/08/2023 09:30,Low,better,-18.9,-24.3,-22.5
CAD,Bank Holiday,07/08/2023 00:00,Non-Economic,,,,
USD,FOMC Member Bowman Speaks,07/08/2023 13:30,Low,,,,
GBP,MPC Member Pill Speaks,07/08/2023 17:00,Low,,,,
USD,Consumer Credit m/m,07/08/2023 20:00,Low,better,17.8B,13.8B,9.5B
AUD,Bank Holiday,06/08/2023 00:00,Non-Economic,,,,
AUD,RBA Monetary Policy Statement,04/08/2023 02:30,Medium,,,,
EUR,German Factory Orders m/m,04/08/2023 07:00,Low,better,7.00%,-2.10%,6.20%
EUR,French Industrial Production m/m,04/08/2023 07:45,Low,worse,-0.90%,-0.30%,1.10%
EUR,French Prelim Private Payrolls q/q,04/08/2023 00:00,Low,worse,0.10%,0.20%,0.40%
EUR,Italian Industrial Production m/m,04/08/2023 09:00,Low,better,0.50%,-0.30%,1.70%
GBP,Construction PMI,04/08/2023 09:30,Low,better,51.7,48.1,48.9
EUR,Retail Sales m/m,04/08/2023 10:00,Low,worse,-0.30%,0.30%,0.60%
GBP,MPC Member Pill Speaks,04/08/2023 12:15,Low,,,,
CAD,Employment Change,04/08/2023 13:30,High,worse,-6.4K,24.6K,59.9K
CAD,Unemployment Rate,04/08/2023 00:00,High,,5.50%,5.50%,5.40%
USD,Average Hourly Earnings m/m,04/08/2023 00:00,High,better,0.40%,0.30%,0.40%
USD,Non-Farm Employment Change,04/08/2023 00:00,High,worse,187K,205K,185K
USD,Unemployment Rate,04/08/2023 00:00,High,better,3.50%,3.60%,3.60%
CAD,Ivey PMI,04/08/2023 15:00,Medium,worse,48.6,49.1,50.2
NZD,ANZ Commodity Prices m/m,03/08/2023 02:00,Low,,-2.60%,,-1.70%
AUD,Goods Trade Balance,03/08/2023 02:30,Medium,better,11.32B,10.87B,10.50B
CNY,Caixin Services PMI,03/08/2023 02:45,Medium,better,54.1,52.5,53.9
EUR,German Trade Balance,03/08/2023 07:00,Low,better,18.7B,15.0B,14.6B
CHF,CPI m/m,03/08/2023 07:30,High,,-0.10%,-0.10%,0.10%
EUR,French Gov Budget Balance,03/08/2023 07:45,Low,,-116.2B,,-107.2B
EUR,Spanish Services PMI,03/08/2023 08:15,Low,worse,52.8,53.5,53.4
EUR,Italian Services PMI,03/08/2023 08:45,Low,worse,51.5,52.2,52.2
EUR,French Final Services PMI,03/08/2023 08:50,Low,,47.1,47.4,47.4
EUR,German Final Services PMI,03/08/2023 08:55,Low,,52.3,52,52
EUR,Final Services PMI,03/08/2023 09:00,Low,,50.9,51.1,51.1
EUR,Italian Retail Sales m/m,03/08/2023 00:00,Low,worse,-0.20%,0.20%,0.60%
GBP,Final Services PMI,03/08/2023 09:30,Low,,51.5,51.5,51.5
EUR,Spanish 10-y Bond Auction,03/08/2023 09:44,Low,,3.61|1.5,,3.55|1.5
EUR,French 10-y Bond Auction,03/08/2023 09:58,Low,,3.09|1.8,,3.04|1.9
EUR,PPI m/m,03/08/2023 10:00,Low,worse,-0.40%,-0.30%,-1.90%
All,OPEC-JMMC Meetings,03/08/2023 00:00,Medium,,,,
GBP,BOE Monetary Policy Report,03/08/2023 12:00,High,,,,
GBP,Monetary Policy Summary,03/08/2023 00:00,High,,,,
GBP,MPC Official Bank Rate Votes,03/08/2023 00:00,High,better,8-0-1,7-0-2,7-0-2
GBP,Official Bank Rate,03/08/2023 00:00,High,,5.25%,5.25%,5.00%
GBP,BOE Gov Bailey Speaks,03/08/2023 12:30,High,,,,
USD,Challenger Job Cuts y/y,03/08/2023 00:00,Low,,-8.20%,,25.20%
USD,Unemployment Claims,03/08/2023 13:30,High,,227K,226K,221K
USD,Prelim Nonfarm Productivity q/q,03/08/2023 00:00,Low,worse,3.70%,2.10%,-2.10%
USD,Prelim Unit Labor Costs q/q,03/08/2023 00:00,Low,worse,1.60%,2.50%,4.20%
USD,Final Services PMI,03/08/2023 14:45,Low,,52.3,52.4,52.4
USD,ISM Services PMI,03/08/2023 15:00,High,worse,52.7,53.1,53.9
USD,Factory Orders m/m,03/08/2023 00:00,Low,better,2.30%,2.00%,0.40%
USD,Natural Gas Storage,03/08/2023 15:30,Low,better,14B,18B,16B
JPY,Monetary Base y/y,02/08/2023 00:50,Low,,-1.30%,-0.70%,-1.00%
JPY,Monetary Policy Meeting Minutes,02/08/2023 00:00,Low,,,,
CHF,SECO Consumer Climate,02/08/2023 08:00,Low,worse,-27,-25,-30
EUR,Spanish Unemployment Change,02/08/2023 00:00,Low,worse,-11.0K,-38.2K,-50.3K
CHF,Manufacturing PMI,02/08/2023 08:30,Low,worse,38.5,43.8,44.9
USD,ADP Non-Farm Employment Change,02/08/2023 13:15,High,better,324K,191K,455K
USD,Crude Oil Inventories,02/08/2023 15:30,Low,better,-17.0M,-0.9M,-0.6M
GBP,BRC Shop Price Index y/y,01/08/2023 00:01,Low,,7.60%,,8.40%
JPY,Unemployment Rate,01/08/2023 00:30,Low,better,2.50%,2.60%,2.60%
JPY,Final Manufacturing PMI,01/08/2023 01:30,Low,,49.6,49.4,49.4
AUD,Building Approvals m/m,01/08/2023 02:30,Low,,-7.70%,-7.90%,20.60%
CNY,Caixin Manufacturing PMI,01/08/2023 02:45,Medium,worse,49.2,50.1,50.5
JPY,10-y Bond Auction,01/08/2023 04:35,Low,,0.59|3.6,,0.43|4.0
AUD,Cash Rate,01/08/2023 05:30,High,worse,4.10%,4.35%,4.10%
AUD,RBA Rate Statement,01/08/2023 00:00,High,,,,
GBP,Nationwide HPI m/m,01/08/2023 07:00,Low,better,-0.20%,-0.50%,0.10%
CHF,Bank Holiday,01/08/2023 00:00,Non-Economic,,,,
AUD,Commodity Prices y/y,01/08/2023 07:30,Low,,-23.50%,,-23.90%
EUR,Spanish Manufacturing PMI,01/08/2023 08:15,Low,worse,47.8,48.2,48
EUR,Italian Manufacturing PMI,01/08/2023 08:45,Low,,44.5,44.4,43.8
EUR,French Final Manufacturing PMI,01/08/2023 08:50,Low,better,45.1,44.5,44.5
EUR,German Final Manufacturing PMI,01/08/2023 08:55,Low,,38.8,38.8,38.8
EUR,German Unemployment Change,01/08/2023 00:00,Low,better,-4K,19K,30K
EUR,Final Manufacturing PMI,01/08/2023 09:00,Low,,42.7,42.7,42.7
EUR,Italian Monthly Unemployment Rate,01/08/2023 00:00,Low,better,7.40%,7.70%,7.60%
GBP,Final Manufacturing PMI,01/08/2023 09:30,Low,,45.3,45,45
EUR,Unemployment Rate,01/08/2023 10:00,Low,better,6.40%,6.50%,6.50%
CAD,Manufacturing PMI,01/08/2023 14:30,Low,,49.6,,48.8
USD,Final Manufacturing PMI,01/08/2023 14:45,Low,,49,49,49
USD,ISM Manufacturing PMI,01/08/2023 15:00,High,worse,46.4,46.9,46
USD,JOLTS Job Openings,01/08/2023 00:00,High,,9.58M,9.61M,9.62M
USD,ISM Manufacturing Prices,01/08/2023 00:00,Medium,worse,42.6,43.8,41.8
USD,Construction Spending m/m,01/08/2023 00:00,Low,,0.50%,0.60%,1.10%
USD,FOMC Member Goolsbee Speaks,01/08/2023 00:00,Low,,,,
USD,Wards Total Vehicle Sales,01/08/2023 00:00,Low,,15.7M,15.7M,15.7M
NZD,GDT Price Index,01/08/2023 15:42,Low,,-4.30%,,-1.00%
NZD,Employment Change q/q,01/08/2023 23:45,High,better,1.00%,0.60%,1.10%
NZD,Unemployment Rate,01/08/2023 00:00,High,worse,3.60%,3.50%,3.40%
NZD,Labor Cost Index q/q,01/08/2023 00:00,Low,worse,1.10%,1.20%,0.90%
JPY,Prelim Industrial Production m/m,31/07/2023 00:50,Low,worse,2.00%,2.50%,-2.20%
JPY,Retail Sales y/y,31/07/2023 00:00,Low,better,5.90%,5.40%,5.80%
AUD,MI Inflation Gauge m/m,31/07/2023 02:00,Low,,0.80%,,0.10%
NZD,ANZ Business Confidence,31/07/2023 00:00,Low,,-13.1,,-18
AUD,Private Sector Credit m/m,31/07/2023 02:30,Low,worse,0.20%,0.40%,0.40%
CNY,Manufacturing PMI,31/07/2023 00:00,High,better,49.3,48.9,49
CNY,Non-Manufacturing PMI,31/07/2023 00:00,Medium,worse,51.5,52.9,53.2
JPY,Consumer Confidence,31/07/2023 06:00,Low,better,37.1,36.1,36.2
JPY,Housing Starts y/y,31/07/2023 00:00,Low,worse,-4.80%,-0.40%,3.50%
EUR,German Import Prices m/m,31/07/2023 07:00,Low,worse,-1.60%,-0.80%,-1.40%
EUR,German Retail Sales m/m,31/07/2023 00:00,Low,worse,-0.80%,-0.30%,1.90%
EUR,Italian Prelim GDP q/q,31/07/2023 09:00,Low,worse,-0.30%,0.00%,0.60%
GBP,M4 Money Supply m/m,31/07/2023 09:30,Low,worse,-0.10%,0.50%,0.30%
GBP,Mortgage Approvals,31/07/2023 00:00,Low,better,55K,49K,51K
GBP,Net Lending to Individuals m/m,31/07/2023 00:00,Low,better,1.8B,1.3B,1.0B
EUR,Core CPI Flash Estimate y/y,31/07/2023 10:00,Medium,better,5.50%,5.40%,5.50%
EUR,CPI Flash Estimate y/y,31/07/2023 00:00,Medium,,5.30%,5.30%,5.50%
EUR,Italian Prelim CPI m/m,31/07/2023 00:00,Low,better,0.10%,-0.10%,0.00%
EUR,Prelim Flash GDP q/q,31/07/2023 00:00,Low,better,0.30%,0.20%,-0.10%
USD,Chicago PMI,31/07/2023 14:45,Low,worse,42.8,43.3,41.5
USD,Loan Officer Survey,31/07/2023 19:00,Low,,,,
NZD,Building Consents m/m,31/07/2023 23:45,Low,,3.50%,,-2.30%
JPY,Tokyo Core CPI y/y,28/07/2023 00:30,Medium,better,3.00%,2.90%,3.20%
AUD,PPI q/q,28/07/2023 02:30,Low,worse,0.50%,0.90%,1.00%
AUD,Retail Sales m/m,28/07/2023 00:00,Low,worse,-0.80%,0.00%,0.80%
JPY,BOJ Outlook Report,28/07/2023 04:28,High,,,,
JPY,Monetary Policy Statement,28/07/2023 00:00,High,,,,
JPY,BOJ Policy Rate,28/07/2023 00:00,Medium,,-0.10%,-0.10%,-0.10%
EUR,French Consumer Spending m/m,28/07/2023 06:30,Low,better,0.90%,-0.70%,0.60%
EUR,French Flash GDP q/q,28/07/2023 00:00,Low,better,0.50%,0.10%,0.10%
EUR,German Prelim CPI m/m,28/07/2023 00:00,High,,0.30%,0.30%,0.30%
CHF,Retail Sales y/y,28/07/2023 07:30,Low,better,1.80%,-0.70%,-0.90%
JPY,BOJ Press Conference,28/07/2023 00:00,High,,,,
EUR,French Prelim CPI m/m,28/07/2023 07:45,Low,,0.00%,0.00%,0.20%
CHF,KOF Economic Barometer,28/07/2023 08:00,Low,better,92.2,90,90.7
EUR,Spanish Flash CPI y/y,28/07/2023 00:00,Medium,better,2.30%,1.70%,1.90%
EUR,Spanish Flash GDP q/q,28/07/2023 00:00,Low,,0.40%,0.40%,0.60%
EUR,German Prelim GDP q/q,28/07/2023 09:00,Low,worse,0.00%,0.10%,-0.30%
CAD,GDP m/m,28/07/2023 13:30,High,,0.30%,0.30%,0.10%
USD,Core PCE Price Index m/m,28/07/2023 00:00,High,,0.20%,0.20%,0.30%
USD,Employment Cost Index q/q,28/07/2023 00:00,High,worse,1.00%,1.10%,1.20%
USD,Personal Income m/m,28/07/2023 00:00,Low,worse,0.30%,0.50%,0.50%
USD,Personal Spending m/m,28/07/2023 00:00,Low,better,0.50%,0.40%,0.20%
USD,Revised UoM Consumer Sentiment,28/07/2023 15:00,High,worse,71.6,72.6,72.6
USD,Revised UoM Inflation Expectations,28/07/2023 00:00,Low,,3.40%,,3.40%
AUD,Import Prices q/q,27/07/2023 02:30,Low,,-0.80%,-0.80%,-4.20%
EUR,German GfK Consumer Climate,27/07/2023 07:00,Low,better,-24.4,-24.8,-25.2
EUR,Spanish Unemployment Rate,27/07/2023 08:00,Low,better,11.60%,13.00%,13.30%
EUR,Italian 10-y Bond Auction,27/07/2023 10:13,Low,,4.10|1.4,,4.13|1.4
GBP,CBI Realized Sales,27/07/2023 11:00,Low,worse,-25,-9,-9
EUR,Main Refinancing Rate,27/07/2023 13:15,High,,4.25%,4.25%,4.00%
EUR,Monetary Policy Statement,27/07/2023 00:00,High,,,,
USD,Advance GDP q/q,27/07/2023 13:30,High,better,2.40%,1.80%,2.00%
USD,Unemployment Claims,27/07/2023 00:00,High,better,221K,234K,228K
USD,Advance GDP Price Index q/q,27/07/2023 00:00,Medium,worse,2.20%,3.00%,4.10%
USD,Core Durable Goods Orders m/m,27/07/2023 00:00,Medium,better,0.60%,0.10%,0.70%
USD,Durable Goods Orders m/m,27/07/2023 00:00,Medium,better,4.70%,1.30%,1.80%
USD,Goods Trade Balance,27/07/2023 00:00,Low,better,-87.8B,-91.8B,-91.9B
USD,Prelim Wholesale Inventories m/m,27/07/2023 00:00,Low,better,-0.30%,-0.10%,0.00%
EUR,ECB Press Conference,27/07/2023 13:45,High,,,,
USD,Pending Home Sales m/m,27/07/2023 15:00,Medium,better,0.30%,-0.50%,-2.50%
USD,Natural Gas Storage,27/07/2023 15:30,Low,worse,16B,12B,41B
JPY,SPPI y/y,26/07/2023 00:50,Low,worse,1.20%,1.50%,1.70%
AUD,CPI q/q,26/07/2023 02:30,High,worse,0.80%,1.00%,1.40%
AUD,CPI y/y,26/07/2023 00:00,High,,5.40%,5.40%,5.60%
AUD,Trimmed Mean CPI q/q,26/07/2023 00:00,High,worse,0.90%,1.10%,1.20%
CHF,Credit Suisse Economic Expectations,26/07/2023 09:00,Low,,-32.6,,-30.8
EUR,M3 Money Supply y/y,26/07/2023 00:00,Low,worse,0.60%,0.90%,1.40%
EUR,Private Loans y/y,26/07/2023 00:00,Low,worse,1.70%,2.00%,2.10%
CNY,CB Leading Index m/m,26/07/2023 14:00,Low,,0.10%,,0.00%
USD,New Home Sales,26/07/2023 15:00,Medium,worse,697K,726K,715K
USD,Crude Oil Inventories,26/07/2023 15:30,Low,worse,-0.6M,-2.2M,-0.7M
CAD,BOC Summary of Deliberations,26/07/2023 18:30,Low,,,,
USD,Federal Funds Rate,26/07/2023 19:00,High,,5.50%,5.50%,5.25%
USD,FOMC Statement,26/07/2023 00:00,High,,,,
USD,FOMC Press Conference,26/07/2023 19:30,High,,,,
JPY,BOJ Core CPI y/y,25/07/2023 06:00,Low,,3.00%,3.00%,3.10%
EUR,German ifo Business Climate,25/07/2023 09:00,Medium,worse,87.3,88,88.6
GBP,CBI Industrial Order Expectations,25/07/2023 11:00,Low,better,-9,-17,-15
EUR,Belgian NBB Business Climate,25/07/2023 13:58,Low,worse,-14.8,-10,-12.1
USD,HPI m/m,25/07/2023 14:00,Low,better,0.70%,0.60%,0.70%
USD,S&P/CS Composite-20 HPI y/y,25/07/2023 00:00,Low,better,-1.70%,-2.30%,-1.70%
USD,CB Consumer Confidence,25/07/2023 15:00,High,better,117,112.1,110.1
USD,Richmond Manufacturing Index,25/07/2023 00:00,Medium,,-9,-9,-7
AUD,Flash Manufacturing PMI,24/07/2023 00:00,Low,,49.6,,48.2
AUD,Flash Services PMI,24/07/2023 00:00,Low,,48,,50.3
JPY,Flash Manufacturing PMI,24/07/2023 01:30,Low,worse,49.4,50.1,49.8
NZD,Credit Card Spending y/y,24/07/2023 04:00,Low,,5.00%,,3.40%
EUR,French Flash Manufacturing PMI,24/07/2023 08:15,High,worse,44.5,46.1,46
EUR,French Flash Services PMI,24/07/2023 00:00,High,worse,47.4,48.5,48
EUR,German Flash Manufacturing PMI,24/07/2023 08:30,High,worse,38.8,40.9,40.6
EUR,German Flash Services PMI,24/07/2023 00:00,High,worse,52,53.2,54.1
EUR,Flash Manufacturing PMI,24/07/2023 09:00,Medium,worse,42.7,43.5,43.4
EUR,Flash Services PMI,24/07/2023 00:00,Medium,worse,51.1,51.7,52
GBP,Flash Manufacturing PMI,24/07/2023 09:30,High,worse,45,46.1,46.5
GBP,Flash Services PMI,24/07/2023 00:00,High,worse,51.5,53.1,53.7
USD,Flash Manufacturing PMI,24/07/2023 14:45,High,better,49,46.1,46.3
USD,Flash Services PMI,24/07/2023 00:00,High,worse,52.4,54,54.4
EUR,Spanish Parliamentary Election,23/07/2023 00:00,Medium,,,,
NZD,Trade Balance,23/07/2023 23:45,Low,worse,9M,235M,52M
GBP,GfK Consumer Confidence,21/07/2023 00:01,Low,worse,-30,-25,-24
JPY,National Core CPI y/y,21/07/2023 00:30,Medium,,3.30%,3.30%,3.20%
GBP,Retail Sales m/m,21/07/2023 07:00,Medium,better,0.70%,0.20%,0.10%
GBP,Public Sector Net Borrowing,21/07/2023 00:00,Low,better,17.7B,20.7B,15.8B
CAD,Core Retail Sales m/m,21/07/2023 13:30,Medium,worse,0.00%,0.20%,1.20%
CAD,Retail Sales m/m,21/07/2023 00:00,Medium,worse,0.20%,0.50%,1.00%
CAD,NHPI m/m,21/07/2023 00:00,Low,better,0.10%,0.00%,0.10%
JPY,Trade Balance,20/07/2023 01:05,Low,better,-0.55T,-0.66T,-0.77T
CNY,1-y Loan Prime Rate,20/07/2023 02:15,Medium,,3.55%,3.55%,3.55%
CNY,5-y Loan Prime Rate,20/07/2023 00:00,Medium,,4.20%,4.20%,4.20%
AUD,Employment Change,20/07/2023 02:30,High,better,32.6K,15.4K,76.5K
AUD,Unemployment Rate,20/07/2023 00:00,High,better,3.50%,3.60%,3.50%
AUD,NAB Quarterly Business Confidence,20/07/2023 00:00,Low,,-3,,-4
CHF,Trade Balance,20/07/2023 07:00,Low,better,4.82B,4.23B,5.44B
EUR,German PPI m/m,20/07/2023 00:00,Low,better,-0.30%,-0.40%,-1.40%
EUR,Current Account,20/07/2023 09:00,Low,better,9.1B,2.5B,3.8B
USD,Unemployment Claims,20/07/2023 13:30,High,better,228K,239K,237K
USD,Philly Fed Manufacturing Index,20/07/2023 00:00,Medium,worse,-13.5,-10.1,-13.7
USD,Existing Home Sales,20/07/2023 15:00,Medium,worse,4.16M,4.21M,4.30M
USD,CB Leading Index m/m,20/07/2023 00:00,Low,worse,-0.70%,-0.60%,-0.60%
EUR,Consumer Confidence,20/07/2023 15:02,Low,better,-15,-16,-16
USD,Natural Gas Storage,20/07/2023 15:30,Low,better,41B,45B,49B
AUD,MI Leading Index m/m,19/07/2023 01:33,Low,,0.10%,,-0.30%
CNY,Foreign Direct Investment ytd/y,19/07/2023 06:06,Low,,-2.70%,,0.10%
GBP,CPI y/y,19/07/2023 07:00,High,worse,7.90%,8.20%,8.70%
GBP,Core CPI y/y,19/07/2023 00:00,Low,worse,6.90%,7.10%,7.10%
GBP,PPI Input m/m,19/07/2023 00:00,Low,worse,-1.30%,-0.30%,-1.20%
GBP,PPI Output m/m,19/07/2023 00:00,Low,,-0.30%,-0.30%,-0.60%
GBP,RPI y/y,19/07/2023 00:00,Low,worse,10.70%,10.90%,11.30%
GBP,HPI y/y,19/07/2023 09:30,Low,worse,1.90%,3.30%,3.20%
EUR,Final Core CPI y/y,19/07/2023 10:00,Low,better,5.50%,5.40%,5.40%
EUR,Final CPI y/y,19/07/2023 00:00,Low,,5.50%,5.50%,5.50%
EUR,German 30-y Bond Auction,19/07/2023 10:47,Low,,2.40|2.0,,2.37|2.3
USD,Housing Starts,19/07/2023 13:30,High,worse,1.43M,1.48M,1.56M
USD,Building Permits,19/07/2023 00:00,Medium,worse,1.44M,1.49M,1.50M
USD,Crude Oil Inventories,19/07/2023 15:30,Low,worse,-0.7M,-2.0M,5.9M
GBP,MPC Member Ramsden Speaks,19/07/2023 17:00,Low,,,,
AUD,Monetary Policy Meeting Minutes,18/07/2023 02:30,High,,,,
JPY,Tertiary Industry Activity m/m,18/07/2023 05:30,Low,better,1.20%,0.40%,0.90%
All,G20 Meetings,18/07/2023 00:00,Medium,,,,
GBP,30-y Bond Auction,18/07/2023 10:03,Low,,4.48|2.3,,4.39|2.6
CAD,Housing Starts,18/07/2023 13:13,Low,better,281K,221K,200K
CAD,CPI m/m,18/07/2023 13:30,High,worse,0.10%,0.30%,0.40%
CAD,Median CPI y/y,18/07/2023 00:00,High,better,3.90%,3.70%,4.00%
CAD,Trimmed CPI y/y,18/07/2023 00:00,High,better,3.70%,3.60%,3.80%
CAD,Common CPI y/y,18/07/2023 00:00,Medium,better,5.10%,5.00%,5.20%
CAD,IPPI m/m,18/07/2023 00:00,Low,worse,-0.60%,-0.20%,-0.60%
CAD,RMPI m/m,18/07/2023 00:00,Low,worse,-1.50%,-0.30%,-5.00%
USD,Core Retail Sales m/m,18/07/2023 00:00,High,worse,0.20%,0.40%,0.30%
USD,Retail Sales m/m,18/07/2023 00:00,High,worse,0.20%,0.50%,0.50%
CAD,Core CPI m/m,18/07/2023 13:32,Low,,-0.10%,,0.40%
USD,Industrial Production m/m,18/07/2023 14:15,Medium,worse,-0.50%,0.00%,-0.50%
USD,Capacity Utilization Rate,18/07/2023 00:00,Low,worse,78.90%,79.50%,79.40%
USD,Business Inventories m/m,18/07/2023 15:00,Low,,0.20%,0.20%,0.10%
USD,FOMC Member Barr Speaks,18/07/2023 00:00,Low,,,,
USD,NAHB Housing Market Index,18/07/2023 00:00,Low,,56,56,55
NZD,GDT Price Index,18/07/2023 15:17,Low,,-1.00%,,-3.30%
AUD,CB Leading Index m/m,18/07/2023 15:30,Low,,0.10%,,-0.30%
USD,TIC Long-Term Purchases,18/07/2023 21:00,Low,worse,25.8B,110.7B,127.8B
NZD,CPI q/q,18/07/2023 23:45,High,better,1.10%,0.90%,1.20%
GBP,Rightmove HPI m/m,17/07/2023 00:01,Low,,-0.20%,,0.00%
JPY,Bank Holiday,17/07/2023 00:00,Non-Economic,,,,
CNY,GDP q/y,17/07/2023 03:00,High,worse,6.30%,7.10%,4.50%
CNY,Industrial Production y/y,17/07/2023 00:00,High,better,4.40%,2.50%,3.50%
CNY,Retail Sales y/y,17/07/2023 00:00,Medium,worse,3.10%,3.40%,12.70%
CNY,Fixed Asset Investment ytd/y,17/07/2023 00:00,Low,better,3.80%,3.40%,4.00%
CNY,NBS Press Conference,17/07/2023 00:00,Low,,,,
CNY,Unemployment Rate,17/07/2023 00:00,Low,,5.20%,5.20%,5.20%
All,G20 Meetings,17/07/2023 00:00,Medium,,,,
EUR,ECB President Lagarde Speaks,17/07/2023 09:15,Medium,,,,
EUR,German Buba Monthly Report,17/07/2023 11:00,Low,,,,
CAD,Foreign Securities Purchases,17/07/2023 13:30,Low,better,11.16B,9.95B,12.78B
CAD,Wholesale Sales m/m,17/07/2023 00:00,Low,better,3.50%,1.10%,-1.40%
USD,Empire State Manufacturing Index,17/07/2023 00:00,High,better,1.1,-3.5,6.6
All,G20 Meetings,16/07/2023 00:00,Medium,,,,
All,G7 Meetings,16/07/2023 00:00,Low,,,,
NZD,BusinessNZ Services Index,16/07/2023 23:30,Low,,50.1,,53.1
CNY,New Home Prices m/m,15/07/2023 02:30,Low,,-0.06%,,0.10%
All,G20 Meetings,15/07/2023 00:00,Medium,,,,
JPY,Revised Industrial Production m/m,14/07/2023 05:30,Low,worse,-2.20%,-1.60%,-1.60%
All,G20 Meetings,14/07/2023 00:00,Medium,,,,
EUR,German WPI m/m,14/07/2023 07:00,Low,better,-0.20%,-0.50%,-1.10%
CHF,PPI m/m,14/07/2023 07:30,Low,worse,0.00%,0.20%,-0.30%
EUR,French Bank Holiday,14/07/2023 00:00,Non-Economic,,,,
EUR,Italian Trade Balance,14/07/2023 09:00,Low,better,4.71B,1.45B,0.36B
EUR,Trade Balance,14/07/2023 10:00,Low,better,-0.9B,-10.3B,-8.0B
EUR,ECOFIN Meetings,14/07/2023 00:00,Low,,,,
